Path	URL	Permissions
PENJUALAN		view,create,update,delete
PENJUALAN / Menu Favorit		
PENJUALAN / Dashboard	sales-dashboard	view,create,update,delete
PENJUALAN / Laporan		view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan		view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Ringkasan Penjualan	laporan/penjualan/sales-summary	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Detail Penjualan	laporan/penjualan/transaksi-v2	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Penjualan Per Periode	laporan/penjualan/sales-harian	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Penjualan Outlet	laporan/penjualan/sales-outlet	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Laporan Jenis Bayar	laporan/penjualan/sales-jenis-pembayaran	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Laporan Jenis Order	laporan/penjualan/sales-jenis-order	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Laporan Void	laporan/penjualan/void	view,create,update,delete
PENJUALAN / Laporan / Laporan Penjualan / Laporan Refund	laporan/penjualan/sales-refund	view,create,update,delete
PENJUALAN / Laporan / Laporan Dapur		view,create,update,delete
PENJUALAN / Laporan / Laporan Dapur / Laporan Proses Order	laporan/dapur/proses-order	view,create,update,delete
PENJUALAN / Laporan / Laporan Dapur / Laporan Proses Produk	laporan/dapur/proses-produk	view,create,update,delete
PENJUALAN / Laporan / Laporan Produk		view,create,update,delete
PENJUALAN / Laporan / Laporan Produk / Penjualan Produk	laporan/penjualan/sales-item	view,create,update,delete
PENJUALAN / Laporan / Laporan Produk / Penjualan Departemen	laporan/penjualan/sales-department	view,create,update,delete
PENJUALAN / Laporan / Laporan Produk / Penjualan Kategori	laporan/penjualan/sales-kategori	view,create,update,delete
PENJUALAN / Laporan / Laporan Produk / Penjualan Ekstra	laporan/penjualan/sales-varian	view,create,update,delete
PENJUALAN / Laporan / Laporan Produk / Penjualan Sub Ekstra	laporan/penjualan/sales-sub-varian	view,create,update,delete
PENJUALAN / Laporan / Laporan Jasa		view,create,update,delete
PENJUALAN / Laporan / Laporan Jasa / Laporan Jasa	laporan/penjualan/jasa	view,create,update,delete
PENJUALAN / Laporan / Laporan Jasa / Laporan Reservasi	laporan/penjualan/reservasi	view,create,update,delete
PENJUALAN / Laporan / Laporan Jasa / Laporan Reservasi & Utilisasi	laporan/penjualan/reservasi-new	view
PENJUALAN / Laporan / Laporan Promo & Loyalti		view,create,update,delete
PENJUALAN / Laporan / Laporan Promo & Loyalti / Laporan Promo	laporan/penjualan/sales-promo	view,create,update,delete
PENJUALAN / Laporan / Laporan Promo & Loyalti / Laporan Poin	laporan/penjualan/sales-poin	view,create,update,delete
PENJUALAN / Laporan / Laporan Promo & Loyalti / Laporan Kupon	laporan/penjualan/sales-voucher	view,create,update,delete
PENJUALAN / Laporan / Laporan Promo & Loyalti / Laporan Komplimen	laporan/penjualan/sales-compliment	view,create,update,delete
PENJUALAN / Laporan / Laporan Pajak		view,create,update,delete
PENJUALAN / Laporan / Laporan Pajak / Laporan Pajak	laporan/penjualan/sales-pajak	view,create,update,delete
PENJUALAN / Laporan / Laporan Pajak / Laporan Service Charge	laporan/penjualan/service-charge	view
PENJUALAN / Laporan / Laporan Kasir		view,create,update,delete
PENJUALAN / Laporan / Laporan Kasir / Laporan Kas Kasir	laporan/penjualan/kas-kecil	view,create,update,delete
PENJUALAN / Laporan / Laporan Kasir / Penjualan Per Kasir	laporan/penjualan/sales-per-kasir	view,create,update,delete
PENJUALAN / Laporan / Laporan Kasir / Penjualan Per Terminal	laporan/penjualan/per-terminal	view,create,update,delete
PENJUALAN / Laporan / Laporan Kasir / Laporan Tutup Kasir	laporan/penjualan/tutup-kasir	view,create,update,delete
PENJUALAN / Laporan / Laporan Kasir / Laporan Tutup Toko	laporan/penjualan/tutup-toko	view,create,update,delete
PENJUALAN / Laporan / Laporan Deposit		view,create,update,delete
PENJUALAN / Laporan / Laporan Deposit / Penjualan Deposit	laporan/penjualan/deposit	view,create,update,delete
PENJUALAN / Laporan / Laporan Deposit / Deposit Kadaluarsa	laporan/penjualan/deposit-kedaluwarsa	view,create,update,delete
PENJUALAN / Laporan / Laporan Deposit / Sisa Deposit	laporan/penjualan/sisa-deposit	view,create,update,delete
PENJUALAN / Laporan / Laporan Pelanggan		view,create,update,delete
PENJUALAN / Laporan / Laporan Pelanggan / Laporan Pelanggan	laporan/penjualan/sales-pelanggan	view,create,update,delete
PENJUALAN / Laporan / Laporan Karyawan		view,create,update,delete
PENJUALAN / Laporan / Laporan Karyawan / Komisi Bertingkat	laporan/karyawan/komisi-bertingkat/ringkasan	view,create,update,delete
PENJUALAN / Laporan / Laporan Karyawan / Absensi	laporan/karyawan/absensi	view,create,update,delete
PENJUALAN / Laporan / Laporan Karyawan / Komisi Tetap	laporan/karyawan/komisi/ringkasan	view,create,update,delete
PENJUALAN / Laporan / Laporan Persediaan		view,create,update,delete
PENJUALAN / Laporan / Laporan Persediaan / Lap. Ringkasan Persediaan	laporan/persediaan/ringkasan-persediaan	view,create,update,delete
PENJUALAN / Laporan / Laporan Persediaan / Lap. Detail Persediaan	laporan/persediaan/detail-persediaan	view,create,update,delete
PENJUALAN / Laporan / Laporan Persediaan / Laporan Stok Kedaluwarsa	laporan/persediaan/stok-kedaluwarsa	view,create,update,delete
